,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
1,1,0,0,1,0,1,0,7,0,0,0,0,0,0,2,0,0,0,0,0,2,6,2,4,2,0,0,2,4,4,18,4,2,16,0,4,2,10,0,2,12,14,36,12,34,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,12,44,20,0,0,0,4,0,88,40,88,0,0,0,0,6,0,6,0,0,8,16,8,0,0,8,32,10,0,0,0,12,48,0,0,84,192,36,16,32,192,24,108,0,0,96,384,0,0,720
2,0,1,0,2,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,6,2,0,0,0,4,2,16,4,10,20,0,0,4,12,0,2,6,10,34,14,44,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,8,20,48,8,0,0,4,4,0,92,20,80,0,0,0,0,6,0,18,0,0,0,16,8,0,0,24,32,10,0,0,0,12,36,0,0,108,204,36,0,32,176,48,108,0,0,48,384,0,0,720
3,1,1,1,3,1,5,7,13,0,0,0,0,0,0,2,0,0,0,2,2,2,8,4,6,4,2,2,6,14,10,28,12,12,26,2,14,14,32,4,18,34,34,72,36,66,0,0,0,0,0,0,4,0,0,4,4,4,0,0,4,4,12,20,52,28,4,4,16,16,8,132,72,140,0,0,0,0,12,6,30,0,0,8,16,8,0,0,32,72,40,0,0,0,24,60,12,12,120,240,72,32,64,256,48,108,0,0,144,432,0,0,720
4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,2,2,10,0,0,2,4,0,0,2,8,14,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,4,0,0,0,0,0,60,16,44,0,0,0,0,6,0,6,0,0,0,8,0,0,0,8,8,0,0,0,0,0,12,0,0,72,156,12,0,16,128,24,72,0,0,48,336,0,0,720
5,0,0,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,2,2,6,10,6,2,10,0,10,4,10,2,4,22,20,36,10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,28,20,0,4,4,0,0,84,60,96,0,0,0,0,6,0,12,0,0,8,8,0,0,0,8,40,10,0,0,0,12,36,0,12,72,180,36,32,32,208,24,72,0,0,144,384,0,0,720
6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,0,2,0,0,2,6,0,2,6,4,24,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,4,0,0,0,4,0,52,16,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,10,0,0,0,12,24,0,0,36,132,24,0,16,160,0,36,0,0,48,336,0,0,720
7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,2,4,0,0,2,6,0,2,4,6,20,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,0,0,4,0,0,56,16,56,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,16,10,0,0,0,0,12,0,0,60,144,24,0,16,144,24,36,0,0,48,336,0,0,720
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,28,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,24,96,12,0,0,112,0,36,0,0,48,288,0,0,720
9,3,1,1,7,5,5,6,18,1,1,0,0,0,2,4,0,0,1,1,3,11,14,11,13,4,2,4,10,12,16,27,15,10,28,2,23,16,28,10,18,38,36,56,28,51,2,2,4,4,2,2,4,4,6,2,8,4,0,0,4,8,8,22,52,38,8,12,10,12,10,94,70,98,0,9,9,0,18,3,21,0,0,28,32,8,0,4,24,56,30,0,6,0,24,54,12,24,84,150,54,48,56,160,36,90,24,24,120,240,0,0,360
10,1,1,0,5,0,1,1,6,0,1,0,0,0,0,4,0,0,0,0,1,1,12,2,13,2,0,0,2,6,2,17,6,8,24,0,3,6,16,0,2,8,14,30,10,37,0,2,0,4,0,0,2,2,0,2,4,4,0,0,0,0,4,22,50,12,2,0,2,4,0,72,24,56,0,0,9,0,12,0,12,0,0,4,32,8,0,0,16,20,10,0,6,0,6,30,6,0,78,132,24,8,40,112,36,90,0,24,48,216,0,0,360
11,3,4,1,5,2,10,7,17,0,0,1,2,2,1,6,0,2,0,4,2,8,14,4,8,10,5,2,6,17,22,34,12,14,27,2,12,14,28,10,18,34,28,59,36,52,0,0,0,0,0,4,8,0,4,10,8,6,6,6,2,6,24,20,48,32,4,4,14,18,6,92,56,102,0,0,0,3,12,6,24,0,4,12,20,16,16,0,32,68,35,0,0,0,48,66,12,18,84,150,60,24,48,160,36,90,0,0,96,240,36,0,360
12,1,1,0,2,0,3,2,6,0,0,0,1,0,0,4,0,0,0,2,1,2,10,1,5,2,0,0,2,12,4,20,4,6,18,0,3,6,20,0,4,10,12,36,15,35,0,0,0,0,0,2,8,0,0,4,4,2,0,0,0,0,8,12,36,12,2,0,6,8,0,70,24,64,0,0,0,0,6,3,12,0,4,4,16,8,0,0,16,28,20,0,0,0,12,36,12,0,66,126,30,8,40,120,24,72,0,0,48,216,0,0,360
13,1,1,0,2,1,2,1,7,0,0,0,0,1,0,2,0,0,0,0,0,4,6,2,4,4,0,0,2,4,12,18,6,6,14,0,6,4,10,2,4,17,14,32,16,30,0,0,0,0,0,0,0,0,0,4,2,2,4,2,0,4,12,12,32,20,0,2,4,4,0,62,36,72,0,0,0,0,6,0,12,0,0,8,12,8,12,0,16,44,10,0,0,0,36,48,0,6,60,120,36,16,24,128,24,72,0,0,72,216,36,0,360
14,1,0,0,1,1,2,1,9,0,0,0,0,0,1,1,0,0,0,0,0,4,4,2,2,2,1,2,4,4,10,14,4,2,11,0,10,4,10,7,12,26,18,37,18,26,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,2,4,6,24,20,0,4,2,6,6,62,48,76,0,0,0,0,6,0,6,0,0,8,8,4,0,0,8,44,20,0,0,0,18,36,0,18,48,114,36,24,24,136,12,54,0,0,96,216,0,0,360
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,6,0,0,5,0,0,0,4,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,34,0,18,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,5,0,0,0,0,12,0,0,36,84,0,0,16,56,12,54,0,0,0,168,0,0,360
16,2,1,1,3,3,11,6,17,0,0,0,0,1,2,2,1,2,2,2,2,8,8,4,4,6,4,8,10,14,24,28,10,8,20,4,22,17,28,14,26,45,34,62,38,48,0,0,0,0,0,4,4,0,6,4,6,2,4,8,2,8,20,12,36,32,8,12,12,20,16,90,70,108,0,0,0,0,12,6,18,0,0,12,12,8,16,4,28,76,40,0,0,6,48,60,12,30,72,144,60,40,48,168,24,72,0,0,120,240,36,0,360
17,0,0,0,0,0,5,2,7,0,0,0,0,0,0,0,0,1,0,1,0,3,3,0,0,3,2,0,0,6,15,17,3,3,8,1,3,6,13,6,10,22,12,38,23,27,0,0,0,0,0,2,2,0,2,2,2,0,2,4,0,2,14,4,20,18,2,0,6,10,2,60,36,80,0,0,0,0,0,3,9,0,0,4,4,4,12,0,16,56,20,0,0,0,42,48,6,12,48,114,42,8,24,136,12,54,0,0,72,216,36,0,360
18,0,0,0,1,1,3,2,5,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,0,0,2,4,6,6,10,4,2,8,2,15,12,20,2,10,24,22,38,16,31,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,4,4,16,12,8,8,6,8,6,66,48,74,0,0,0,0,6,3,9,0,0,4,4,0,0,4,16,40,20,0,0,0,12,24,12,12,48,114,30,32,40,136,12,36,0,0,96,216,0,0,360
19,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,4,1,8,1,2,6,0,0,2,11,0,2,4,4,22,11,20,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,4,2,14,4,0,0,6,6,0,46,10,46,0,0,0,0,0,3,9,0,0,0,4,0,0,0,8,20,10,0,0,0,6,18,6,0,42,96,24,0,24,96,12,36,0,0,24,192,0,0,360
20,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,4,0,6,2,2,8,0,3,4,10,0,2,6,10,20,4,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,16,4,2,0,2,0,0,48,20,42,0,0,0,0,6,0,6,0,0,0,4,0,0,0,8,12,10,0,0,0,0,12,6,0,42,96,12,8,24,96,12,36,0,0,48,192,0,0,360
21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,0,2,0,1,0,1,0,0,4,2,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,24,16,32,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,12,0,0,0,0,6,18,0,0,18,66,12,8,8,80,0,36,0,0,48,168,0,0,360
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,18,60,0,0,8,40,0,36,0,0,0,144,0,0,360
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,2,0,1,0,1,0,0,2,4,6,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,8,0,0,0,0,0,26,16,26,0,0,0,0,0,0,3,0,0,4,4,0,0,0,0,4,0,0,0,0,0,12,0,0,30,72,12,8,8,72,12,36,0,0,48,168,0,0,360
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,20,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,66,0,0,8,32,12,36,0,0,0,144,0,0,360
25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,1,1,2,0,0,0,0,0,0,2,2,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10,4,0,0,0,0,0,24,8,30,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,12,0,0,0,0,6,18,0,0,30,72,12,0,0,72,12,36,0,0,24,168,0,0,360
26,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,4,8,2,2,4,0,0,2,4,2,4,10,6,21,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,8,0,0,2,2,0,40,20,52,0,0,0,0,0,0,6,0,0,0,0,4,0,0,8,28,10,0,0,0,12,24,0,6,36,90,24,0,8,104,12,36,0,0,48,192,0,0,360
27,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,0,0,3,0,6,2,6,1,7,14,10,24,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,4,0,2,0,4,4,42,30,54,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,28,15,0,0,0,6,12,0,6,24,84,18,16,16,112,0,18,0,0,72,192,0,0,360
28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,3,0,2,0,2,0,1,4,5,11,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,28,16,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,6,0,0,18,66,6,8,8,80,0,18,0,0,48,168,0,0,360
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,2,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,12,54,0,0,8,48,0,18,0,0,0,144,0,0,360
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,10,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,12,0,0,6,42,6,0,0,64,0,18,0,0,24,144,0,0,360
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,36,0,0,0,32,0,18,0,0,0,120,0,0,360
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,14,6,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,24,54,6,0,0,48,12,18,0,0,24,144,0,0,360
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,16,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,30,60,6,0,0,40,12,18,0,0,0,144,0,0,360
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,0,0,0,24,0,18,0,0,0,120,0,0,360
35,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,1,2,1,3,4,11,0,4,8,8,22,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,4,2,0,6,6,2,44,20,50,0,0,0,0,0,3,9,0,0,0,0,0,0,0,8,24,10,0,0,0,6,12,6,0,36,90,24,8,24,104,12,18,0,0,48,192,0,0,360
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,42,0,8,8,64,0,0,0,0,48,144,0,0,360
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,12,48,0,0,8,56,0,0,0,0,24,144,0,0,360
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,0,0,8,32,0,0,0,0,0,120,0,0,360
39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,2,8,2,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,22,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,6,12,0,6,12,60,12,0,0,88,0,18,0,0,48,168,0,0,360
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,6,42,6,0,0,64,0,0,0,0,24,144,0,0,360
